version,num_of_tables,table_names
1,18,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'book_borrower', 'cd_borrower', 'dvd_borrower', 'magazine_borrower', 'videogame_borrower', 'member', 'admin']"
4,18,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'book_borrower', 'cd_borrower', 'dvd_borrower', 'magazine_borrower', 'videogame_borrower', 'member', 'admin']"
5,19,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'book_borrower', 'cd_borrower', 'dvd_borrower', 'magazine_borrower', 'videogame_borrower', 'member', 'member_history', 'admin']"
11,19,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'book_borrower', 'cd_borrower', 'dvd_borrower', 'magazine_borrower', 'videogame_borrower', 'member', 'member_history', 'admin']"
16,19,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'book_borrower', 'cd_borrower', 'dvd_borrower', 'magazine_borrower', 'videogame_borrower', 'member', 'member_history', 'admin']"
24,19,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'book_borrower', 'cd_borrower', 'dvd_borrower', 'magazine_borrower', 'videogame_borrower', 'member', 'member_history', 'admin']"
35,19,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'book_borrower', 'cd_borrower', 'dvd_borrower', 'magazine_borrower', 'videogame_borrower', 'member', 'member_history', 'admin']"
44,18,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'book_borrower', 'cd_borrower', 'dvd_borrower', 'magazine_borrower', 'videogame_borrower', 'member', 'member_history']"
52,18,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'book_borrower', 'cd_borrower', 'dvd_borrower', 'magazine_borrower', 'videogame_borrower', 'member', 'member_history']"
80,18,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'book_borrower', 'cd_borrower', 'dvd_borrower', 'magazine_borrower', 'videogame_borrower', 'member', 'member_history']"
81,18,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'book_borrower', 'cd_borrower', 'dvd_borrower', 'magazine_borrower', 'videogame_borrower', 'member', 'member_history']"
101,14,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'item_borrower', 'member', 'member_history']"
102,16,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'journal', 'journal_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'item_borrower', 'member', 'member_history']"
115,16,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'journal', 'journal_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'item_borrower', 'member', 'member_history']"
116,16,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'journal', 'journal_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'item_borrower', 'member', 'member_history']"
154,16,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'journal', 'journal_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'item_borrower', 'member', 'member_history']"
233,16,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'journal', 'journal_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'item_borrower', 'member', 'member_history']"
236,16,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'journal', 'journal_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'item_borrower', 'member', 'member_history']"
285,16,"['book', 'book_copy_info', 'cd', 'cd_songs', 'cd_copy_info', 'dvd', 'dvd_copy_info', 'journal', 'journal_copy_info', 'magazine', 'magazine_copy_info', 'videogame', 'videogame_copy_info', 'item_borrower', 'member', 'member_history']"
